okreg;terytP
o_01;020100
o_01;020300
o_01;020500
o_01;026101
o_01;020600
o_01;020700
o_01;026201
o_01;020900
o_01;021000
o_01;021100
o_01;021200
o_01;021600
o_01;022500
o_01;022600
o_02;020200
o_02;020800
o_02;021900
o_02;022100
o_02;022400
o_03;020400
o_03;021300
o_03;021400
o_03;021500
o_03;021700
o_03;021800
o_03;022000
o_03;022200
o_03;026401
o_03;022300
o_04;040300
o_04;046101
o_04;040700
o_04;040900
o_04;041000
o_04;041300
o_04;041400
o_04;041600
o_04;041900
o_05;040100
o_05;040200
o_05;040400
o_05;040500
o_05;046201
o_05;040600
o_05;040800
o_05;041100
o_05;041200
o_05;046301
o_05;041500
o_05;041700
o_05;046401
o_05;041800
o_06;060500
o_06;060700
o_06;060800
o_06;060900
o_06;066301
o_06;061000
o_06;061100
o_06;061200
o_06;061400
o_06;061600
o_06;061700
o_07;060100
o_07;066101
o_07;060200
o_07;066201
o_07;060300
o_07;060400
o_07;060600
o_07;061300
o_07;061500
o_07;061800
o_07;061900
o_07;062000
o_07;066401
o_08;080100
o_08;086101
o_08;080200
o_08;080300
o_08;080400
o_08;080500
o_08;080600
o_08;080700
o_08;080800
o_08;081200
o_08;086201
o_08;080900
o_08;081000
o_08;081100
o_09;102100
o_09;100600
o_09;106101
o_10;100100
o_10;100700
o_10;101000
o_10;106201
o_10;101200
o_10;101300
o_10;106301
o_10;101500
o_10;101600
o_11;100200
o_11;100300
o_11;100400
o_11;100500
o_11;100800
o_11;100900
o_11;101100
o_11;101400
o_11;101700
o_11;101800
o_11;101900
o_11;102000
o_12;120300
o_12;120900
o_12;121300
o_12;121500
o_12;121800
o_13;120600
o_13;126101
o_13;120800
o_13;121200
o_14;120500
o_14;120700
o_14;121000
o_14;121100
o_14;126201
o_14;121700
o_15;120100
o_15;120200
o_15;120400
o_15;121400
o_15;121600
o_15;126301
o_15;121900
o_16;140200
o_16;140400
o_16;141300
o_16;146201
o_16;141900
o_16;142000
o_16;142200
o_16;142700
o_16;142800
o_16;143700
o_16;143800
o_17;140100
o_17;140600
o_17;140700
o_17;140900
o_17;142300
o_17;146301
o_17;142500
o_17;143000
o_17;143600
o_18;140300
o_18;141000
o_18;141100
o_18;141200
o_18;141500
o_18;146101
o_18;141600
o_18;142400
o_18;146401
o_18;142600
o_18;142900
o_18;143300
o_18;143500
o_19;149901
o_19;146501
o_20;140500
o_20;140800
o_20;141400
o_20;141700
o_20;141800
o_20;142100
o_20;143200
o_20;143400
o_21;160100
o_21;160200
o_21;160300
o_21;160400
o_21;160500
o_21;160600
o_21;160700
o_21;160800
o_21;166101
o_21;160900
o_21;161000
o_21;161100
o_22;180100
o_22;180200
o_22;180400
o_22;180500
o_22;186101
o_22;180700
o_22;182100
o_22;180900
o_22;181300
o_22;186201
o_22;181400
o_22;181700
o_23;180300
o_23;180600
o_23;180800
o_23;181000
o_23;181100
o_23;181200
o_23;181500
o_23;181600
o_23;186301
o_23;181800
o_23;181900
o_23;186401
o_23;182000
o_24;200100
o_24;200200
o_24;206101
o_24;200300
o_24;200400
o_24;200500
o_24;200600
o_24;206201
o_24;200700
o_24;200800
o_24;200900
o_24;201000
o_24;201100
o_24;201200
o_24;206301
o_24;201300
o_24;201400
o_25;226101
o_25;220400
o_25;220700
o_25;229901
o_25;220900
o_25;221000
o_25;226401
o_25;221300
o_25;221600
o_25;221400
o_26;220100
o_26;220200
o_26;220300
o_26;226201
o_26;220500
o_26;220600
o_26;220800
o_26;229801
o_26;221100
o_26;226301
o_26;221200
o_26;221500
o_27;240200
o_27;246101
o_27;240300
o_27;241000
o_27;241700
o_28;246401
o_28;240400
o_28;240600
o_28;240700
o_28;240900
o_29;246201
o_29;246601
o_29;240500
o_29;241300
o_29;247801
o_30;246701
o_30;240800
o_30;241100
o_30;241200
o_30;247301
o_30;241500
o_30;247901
o_31;241400
o_31;246301
o_31;246901
o_31;247001
o_31;247101
o_31;247201
o_31;247401
o_31;247601
o_31;247701
o_32;240100
o_32;246501
o_32;246801
o_32;247501
o_32;241600
o_33;260100
o_33;260200
o_33;260300
o_33;266101
o_33;260400
o_33;260500
o_33;260600
o_33;260700
o_33;260800
o_33;260900
o_33;261000
o_33;261100
o_33;261200
o_33;261300
o_34;280100
o_34;280200
o_34;280300
o_34;286101
o_34;280400
o_34;280700
o_34;280900
o_34;281200
o_34;281500
o_35;280500
o_35;280600
o_35;281800
o_35;280800
o_35;281000
o_35;281100
o_35;281300
o_35;286201
o_35;281400
o_35;281600
o_35;281700
o_35;281900
o_36;300400
o_36;300600
o_36;300700
o_36;306101
o_36;300800
o_36;301100
o_36;301200
o_36;301300
o_36;306301
o_36;301700
o_36;301800
o_36;302000
o_36;302200
o_37;300300
o_37;300900
o_37;306201
o_37;301000
o_37;302300
o_37;302500
o_37;302600
o_37;302700
o_37;303000
o_38;300100
o_38;300200
o_38;300500
o_38;301400
o_38;301500
o_38;301600
o_38;301900
o_38;302400
o_38;302800
o_38;302900
o_38;303100
o_39;306401
o_39;302100
o_40;320100
o_40;320200
o_40;320300
o_40;320800
o_40;326101
o_40;320900
o_40;321300
o_40;321500
o_40;321600
o_40;321700
o_41;320400
o_41;320500
o_41;320600
o_41;320700
o_41;321800
o_41;329901
o_41;321000
o_41;321100
o_41;321200
o_41;321400
o_41;326201
o_41;326301
