rok;nr_okr;nr_k;komitet;kandydat;glosy;procent_okr;procent_lista;plec;wynik
2005;1;1;Centrum;KRÓL Zbigniew;245;0.09;27.50;M;N
2005;1;2;Centrum;SKOCZEK Sławomir;83;0.03;9.32;M;N
2005;1;3;Centrum;DROBNIK Wojciech Edward;47;0.02;5.27;M;N
2005;1;4;Centrum;WOJCIECHOWSKI Jan;124;0.04;13.92;M;N
2005;1;5;Centrum;PORADA Bolesław;41;0.01;4.60;M;N
2005;1;6;Centrum;HAŁATEK Jędrzej Witold;30;0.01;3.37;M;N
2005;1;7;Centrum;OCHOCKI Tomasz Dominik;89;0.03;9.99;M;N
2005;1;8;Centrum;SZNELER Zdzisław;24;0.01;2.69;M;N
2005;1;9;Centrum;LESZCZYŃSKI Krzysztof;52;0.02;5.84;M;N
2005;1;10;Centrum;BARYLAK Marek Waldemar;43;0.02;4.83;M;N
2005;1;11;Centrum;KOSIOREK Maria;27;0.01;3.03;K;N
2005;1;12;Centrum;POSPIESZYŃSKA Ewa;23;0.01;2.58;K;N
2005;1;13;Centrum;RYBAK Janusz;38;0.01;4.26;M;N
2005;1;14;Centrum;MADERA Medard;25;0.01;2.81;M;N
2005;1;1;DemokraciPL;BORYS Piotr;4189;1.48;35.00;M;N
2005;1;2;DemokraciPL;CZEKAŃSKA-SMYKALLA Bożena;1956;0.69;16.34;K;N
2005;1;3;DemokraciPL;COŁOKIDZI Jan;2227;0.79;18.61;M;N
2005;1;4;DemokraciPL;PLUCIŃSKI Radosław Artur;227;0.08;1.90;M;N
2005;1;5;DemokraciPL;BARCIK Krystyna;387;0.14;3.23;K;N
2005;1;6;DemokraciPL;KABAT Ryszard Stanisław;263;0.09;2.20;M;N
2005;1;7;DemokraciPL;ZALEWSKI Zbigniew;336;0.12;2.81;M;N
2005;1;8;DemokraciPL;WYSOCKI Andrzej Jan;152;0.05;1.27;M;N
2005;1;9;DemokraciPL;ŻARCZYŃSKI Adam Tomasz;104;0.04;0.87;M;N
2005;1;10;DemokraciPL;BUSZEWICZ Krzysztof Michał;341;0.12;2.85;M;N
2005;1;11;DemokraciPL;POLAK Władysław Tadeusz;265;0.09;2.21;M;N
2005;1;12;DemokraciPL;KŁÓSEK Ernest Arkadiusz;96;0.03;0.80;M;N
2005;1;13;DemokraciPL;KOŃCZAK Adam Tadeusz;71;0.03;0.59;M;N
2005;1;14;DemokraciPL;PILECKA-LALEWICZ Marta Monika;80;0.03;0.67;K;N
2005;1;15;DemokraciPL;BUGANIK Tomasz Jakub;48;0.02;0.40;M;N
2005;1;16;DemokraciPL;RĘBISZ Jerzy Waldemar;45;0.02;0.38;M;N
2005;1;17;DemokraciPL;KROCZAK Leszek Antoni;101;0.04;0.84;M;N
2005;1;18;DemokraciPL;PISKORZ Robert Ernest;164;0.06;1.37;M;N
2005;1;19;DemokraciPL;MACHAJ Urszula;915;0.32;7.65;K;N
2005;1;1;DomO;GÓRSKI Józef Bogdan;173;0.06;12.62;M;N
2005;1;2;DomO;OSTROWSKI Stanisław Jerzy;114;0.04;8.32;M;N
2005;1;3;DomO;RUDZIŃSKI Andrzej Stanisław;252;0.09;18.38;M;N
2005;1;4;DomO;ŚWIRSKI Zbigniew Józef;198;0.07;14.44;M;N
2005;1;5;DomO;WYSOCKI Leszek;41;0.01;2.99;M;N
2005;1;6;DomO;SZCZEPAŃSKI Adam;26;0.01;1.90;M;N
2005;1;7;DomO;KASPROWICZ-PLUTA Renata Zofia;52;0.02;3.79;K;N
2005;1;8;DomO;WYSOCZAŃSKI Michał;45;0.02;3.28;M;N
2005;1;9;DomO;CZARNECKI Roman Julian;54;0.02;3.94;M;N
2005;1;10;DomO;ZIELIŃSKA Wanda;84;0.03;6.13;K;N
2005;1;11;DomO;PULST Genowefa Barbara;70;0.02;5.11;K;N
2005;1;12;DomO;PEREC Marian;21;0.01;1.53;M;N
2005;1;13;DomO;KONTOR Krystyna Maria;32;0.01;2.33;K;N
2005;1;14;DomO;SEMP-MUSIAŁ Janina;9;0.00;0.66;K;N
2005;1;15;DomO;MARUSIAK Edward;50;0.02;3.65;M;N
2005;1;16;DomO;DWOJAK Mirosław Józef;13;0.00;0.95;M;N
2005;1;17;DomO;ZIÓŁKOWSKI Piotr Stanisław;31;0.01;2.26;M;N
2005;1;18;DomO;PŁOTEK Waldemar;8;0.00;0.58;M;N
2005;1;19;DomO;TENCZA Ewa;34;0.01;2.48;K;N
2005;1;20;DomO;CHMIELEWSKA Kazimiera Halina;20;0.01;1.46;K;N
2005;1;21;DomO;NIEDŹWIECKI Grzegorz;44;0.02;3.21;M;N
2005;1;1;JKM;WOŹNIAK Stanisław Aleksander;1816;0.64;38.69;M;N
2005;1;2;JKM;LIBER Jerzy Jan;454;0.16;9.67;M;N
2005;1;3;JKM;MOSKAL Małgorzata;542;0.19;11.55;K;N
2005;1;4;JKM;TOMASIEWICZ Izabela;306;0.11;6.52;K;N
2005;1;5;JKM;KAMIŃSKI Łukasz Piotr;278;0.10;5.92;M;N
2005;1;6;JKM;SZLENDAK Antoni Zygmunt;130;0.05;2.77;M;N
2005;1;7;JKM;KOJDER Stanisław;232;0.08;4.94;M;N
2005;1;8;JKM;POŁUDNIAK Andrzej Marian;139;0.05;2.96;M;N
2005;1;9;JKM;HERMAN Piotr Maksymilian;124;0.04;2.64;M;N
2005;1;10;JKM;BACA Henryk;296;0.10;6.31;M;N
2005;1;11;JKM;ELBL Tomasz Ryszard;81;0.03;1.73;M;N
2005;1;12;JKM;KUDYBA Maciej Jan;296;0.10;6.31;M;N
2005;1;1;LPR;ŚLUSARCZYK Piotr Jan;7863;2.78;40.22;M;T
2005;1;2;LPR;KUBIŃSKI Marcin Piotr;1184;0.42;6.06;M;N
2005;1;3;LPR;SZWIEC Bartłomiej Jan;420;0.15;2.15;M;N
2005;1;4;LPR;ROLA Tomasz Jacek;1640;0.58;8.39;M;N
2005;1;5;LPR;TELEGA Mirosław;626;0.22;3.20;M;N
2005;1;6;LPR;SKOROBOGATY Krzysztof;317;0.11;1.62;M;N
2005;1;7;LPR;ZIMIRSKI Wojciech Dominik;363;0.13;1.86;M;N
2005;1;8;LPR;BRZOZOWSKI Robert Mariusz;501;0.18;2.56;M;N
2005;1;9;LPR;WOŹNY Zbigniew Piotr;641;0.23;3.28;M;N
2005;1;10;LPR;LISIEWICZ Ryszard Mieczysław;351;0.12;1.80;M;N
2005;1;11;LPR;KOSTROWICKI Krystyn;327;0.12;1.67;M;N
2005;1;12;LPR;WIERZBICKI Adam Wiesław;1008;0.36;5.16;M;N
2005;1;13;LPR;NOWACZYK Mariusz Zygmunt;221;0.08;1.13;M;N
