okr;woj;siedziba;ccsiedziby;teryt;status;nazwa;areaH;areakm;pop;popkm;rankA;rankP
1;02;Legnica;51.2047315,16.1583115;0201;;bolesławiecki;130351;1304;90173;69;64;100
1;02;Legnica;51.2047315,16.1583115;0203;;głogowski;44327;443;89933;203;293;102
1;02;Legnica;51.2047315,16.1583115;0205;;jaworski;58155;582;50947;88;261;241
1;02;Legnica;51.2047315,16.1583115;0206;;jeleniogórski;62714;627;64178;102;242;186
1;02;Legnica;51.2047315,16.1583115;0207;;kamiennogórski;39569;396;43999;111;301;271
1;02;Legnica;51.2047315,16.1583115;0209;;legnicki;74408;744;55233;74;196;227
1;02;Legnica;51.2047315,16.1583115;0210;;lubański;42830;428;54991;128;296;228
1;02;Legnica;51.2047315,16.1583115;0211;;lubiński;71162;712;106320;149;212;75
1;02;Legnica;51.2047315,16.1583115;0212;;lwówecki;70969;710;46360;65;214;257
1;02;Legnica;51.2047315,16.1583115;0216;;polkowicki;77946;779;63017;81;185;190
1;02;Legnica;51.2047315,16.1583115;0225;;zgorzelecki;83860;839;90584;108;167;98
1;02;Legnica;51.2047315,16.1583115;0226;;złotoryjski;57581;576;44126;77;264;266
1;02;Legnica;51.2047315,16.1583115;0261;c;Jelenia Góra;10922;109;80072;733;25;45
1;02;Legnica;51.2047315,16.1583115;0262;c;Legnica;5629;56;100324;1782;50;39
2;02;Wałbrzych;50.7851055,16.2913995;0202;;dzierżoniowski;47851;479;102077;213;285;79
2;02;Wałbrzych;50.7851055,16.2913995;0208;;kłodzki;164330;1642;160465;98;25;17
2;02;Wałbrzych;50.7851055,16.2913995;0219;;świdnicki;74114;741;158392;214;197;19
2;02;Wałbrzych;50.7851055,16.2913995;0221;;wałbrzyski;43022;430;56446;131;295;217
2;02;Wałbrzych;50.7851055,16.2913995;0224;;ząbkowicki;80153;802;66009;82;180;179
2;02;Wałbrzych;50.7851055,16.2913995;0265;c;Wałbrzych;8470;85;113621;1341;34;33
3;02;Wrocław;51.1261165,16.991816;0204;;górowski;73827;738;35473;48;199;299
3;02;Wrocław;51.1261165,16.991816;0213;;milicki;71493;715;37125;52;209;294
3;02;Wrocław;51.1261165,16.991816;0214;;oleśnicki;104931;1049;106907;102;112;74
3;02;Wrocław;51.1261165,16.991816;0215;;oławski;52410;524;76505;146;276;144
3;02;Wrocław;51.1261165,16.991816;0217;;strzeliński;62206;622;44006;71;246;270
3;02;Wrocław;51.1261165,16.991816;0218;;średzki;70414;704;53722;76;216;231
3;02;Wrocław;51.1261165,16.991816;0220;;trzebnicki;102478;1025;84495;82;121;115
3;02;Wrocław;51.1261165,16.991816;0222;;wołowski;67496;675;47124;70;229;255
