teryt;psl.r;pis.r;po.r;pgnw;psl.p;pis.p;po.p;srodek;icon.psl;icon.pis;icon.po;icon.pgnw;icon.pgnw2
0201;0.495;-0.291;-0.591;22.9;15.3;17.8;34.4;51.3623002 15.5803488;small_purple;measle_grey;measle_white;small_blue;measle_brown
0202;0.564;-0.201;-0.511;19.5;14.0;24.1;29.2;50.7717947 16.7233293;small_purple;measle_grey;measle_white;measle_turquoise;small_yellow
0203;0.162;-0.275;-0.152;23.2;15.6;32.0;27.2;51.6574339 16.096829;measle_brown;measle_grey;small_yellow;small_blue;measle_brown
0204;0.268;-0.0289;-0.225;29.6;39.6;16.8;21.4;51.663189 16.5125886;measle_turquoise;small_yellow;measle_grey;small_red;measle_turquoise
0205;0.356;-0.204;-0.269;22.1;39.8;21.6;13.7;51.0283765 16.1314917;measle_turquoise;measle_grey;measle_grey;small_purple;measle_brown
0206;0.114;-0.0663;-0.138;21.3;16.1;18.7;32.0;50.8665547 15.6823021;measle_brown;small_yellow;small_yellow;small_purple;measle_brown
0207;0.159;-0.534;-0.571;22.9;25.6;17.0;37.9;50.7915164 15.9921471;measle_brown;measle_white;measle_white;small_blue;measle_brown
0208;0.0595;-0.104;-0.333;22.1;21.8;19.2;35.7;50.4114042 16.5655666;measle_brown;small_yellow;measle_grey;small_purple;measle_brown
0209;-0.0566;0.0228;-0.118;24.2;33.4;20.6;19.8;51.2067684 16.1593249;small_yellow;measle_brown;small_yellow;small_blue;measle_brown
0210;0.205;-0.354;-0.491;23.7;22.3;19.3;24.8;51.0591161 15.2855624;measle_turquoise;measle_grey;measle_white;small_blue;measle_brown
0211;0.478;-0.0593;-0.125;20.6;12.9;26.2;13.8;51.4411622 16.2519212;small_purple;small_yellow;small_yellow;small_purple;measle_brown
0212;0.204;-0.363;-0.442;21.8;28.0;20.4;16.0;51.0283944 15.5136944;measle_turquoise;measle_grey;measle_white;small_purple;measle_brown
0213;0.661;-0.186;-0.300;21.6;21.9;15.3;32.2;51.541736 17.332622;small_purple;small_yellow;measle_grey;small_purple;measle_brown
0214;0.721;-0.407;-0.522;23.8;20.2;18.3;40.9;51.251709 17.530923;small_purple;measle_white;measle_white;small_blue;measle_brown
0215;0.584;-0.532;-0.561;21.7;17.9;31.5;35.5;51.0163482 17.3794513;small_purple;measle_white;measle_white;small_purple;measle_brown
0216;-0.106;-0.246;-0.242;24.0;23.7;25.5;15.7;51.5113955 16.2543274;small_yellow;measle_grey;measle_grey;small_blue;measle_brown
0217;-0.0952;-0.235;-0.426;20.5;36.1;22.6;28.6;50.8161834 17.0007158;small_yellow;measle_grey;measle_white;small_purple;measle_brown
0218;0.249;-0.417;-0.491;21.6;26.9;16.3;32.7;51.1369337 16.5713037;measle_turquoise;measle_white;measle_white;small_purple;measle_brown
0219;0.548;-0.569;-0.553;20.6;14.2;17.8;25.2;50.9003799 16.4280157;small_purple;measle_white;measle_white;small_purple;measle_brown
0220;0.369;-0.513;-0.474;20.5;29.9;20.4;34.2;51.4188443 16.9985632;measle_turquoise;measle_white;measle_white;small_purple;measle_brown
0221;0.449;0.00233;-0.275;20.4;13.3;14.5;50.6;50.7593258 16.219723;small_purple;measle_brown;measle_grey;small_purple;measle_brown
0222;0.694;-0.349;-0.662;22.1;16.6;17.3;47.7;51.3910837 16.6003543;small_purple;measle_grey;measle_white;small_purple;measle_brown
0223;0.561;-0.337;-0.427;18.5;18.1;23.6;37.2;51.1407764 16.9831788;small_purple;measle_grey;measle_white;measle_turquoise;small_yellow
0224;-0.250;-0.0223;-0.124;23.7;29.6;17.1;22.6;50.589523 16.8122514;measle_grey;small_yellow;small_yellow;small_blue;measle_brown
0225;0.494;-0.380;-0.312;24.6;17.8;20.0;23.2;51.2488827 15.1457788;small_purple;measle_grey;measle_grey;small_blue;measle_brown
0226;0.480;-0.297;-0.326;24.7;19.9;19.2;36.2;51.1557753 15.8337662;small_purple;measle_grey;measle_grey;small_blue;measle_brown
